131	Beeil dich!	2535	¡Date prisa!
131	Beeil dich!	4840794	¡Apúrate!
142	Na und?	2546	¿Entonces qué?
142	Na und?	456973	¿Y qué?
207	Was passierte?	2611	¿Qué ocurrió?
207	Was passierte?	375826	¿Qué pasó?
239	Herzlichen Glückwunsch	2642	¡Felicidades!
368	Vielen Dank!	2755	¡Muchas gracias!
528	Fröhliche Weihnachten!	2889	¡Feliz Navidad!
673	Es regnet	337088	Llueve
673	Es regnet	456238	Está lloviendo
687	Zu spät	2946	Demasiado tarde
976	Unmöglich!	1192105	¡Imposible!
976	Unmöglich!	1364672	¡Es imposible!
1138	Hände runter!	1237173	¡Bajad las manos!
1211	Guten Appetit!	449794	¡Buen provecho!
139989	Guten Flug!	442204	¡Buen vuelo!
139993	Schöne Reise!	339237	¡Buen viaje!
139994	Schönen Flug!	854311	¡Que tengas un buen vuelo!
139994	Schönen Flug!	442204	¡Buen vuelo!
333596	Ich arbeite	2150085	Estoy trabajando
338274	Was?	461022	¿Qué?
338392	Gute Frage	412635	Buena pregunta
338774	Er lachte	336835	Él se rio
338774	Er lachte	745277	Él se reía
339044	Komm schnell!	339038	¡Ven rápido!
339044	Komm schnell!	1068599	¡Vení rápido!
340916	Gute Reise!	339237	¡Buen viaje!
340916	Gute Reise!	872347	¡Ten un buen viaje!
341095	Deinetwegen	12457015	Por ti
341912	Ich friere	436326	Tengo frío
341912	Ich friere	727784	Me congelo
341954	Jederzeit	12457016	en cualquier momento
342091	Kopf hoch!	868373	Arriba el ánimo
343388	Gehen wir?	957706	¿Nos vamos?
347688	Los!	790255	Vamos
347935	Beinahe	811189	Casi
347935	Beinahe	12457018	Cerca
348865	Mach Kaffee	475511	Prepara café
349817	Geschmackssache	576577	Es cuestión de gustos
350127	Schwimmen verboten	1054298	Prohibido nadar
351629	Benimm dich	1402619	Cuida tus modales
351642	Beruhige dich!	566428	Cálmate
351642	Beruhige dich!	1373393	Relájate
351642	Beruhige dich!	728700	¡Cálmate!
351642	Beruhige dich!	8223734	¡Que te calmes!
353258	Bis morgen!	497587	Hasta mañana
355342	Beeil dich	1173024	Apresúrate
356164	Wie süß!	12442172	¡Qué dulce!
356299	Ich bin’s	503555	Soy yo
358356	Nein, danke	465492	No, gracias
358382	Ich weiß	435153	Lo sé
358382	Ich weiß	1672856	Yo lo sé
358404	Ich komme	337105	Ya voy
360730	Herein bitte	347318	Pase adentro, por favor
360730	Herein bitte	615966	Entre, por favor
360730	Herein bitte	1282994	Por favor entre
361822	Komm herein	1501220	Entre
361822	Komm herein	1501221	Pase
362667	Warum?	375872	¿Por qué?
362668	Los geht's	1357504	Aquí vamos
362772	Willkommen!	373297	¡Bienvenidos!
362772	Willkommen!	3493903	Sed bienvenidos
364118	Falsch	1266243	Falso
364118	Falsch	1370193	Equivocado
364955	Stirb!	2114175	¡Muere!
364955	Stirb!	358509	¡Muérete!
365992	Wie geht’s?	397688	¿Cómo estás?
366461	Fantastisch!	984561	¡Fantástico!
367027	Bis später!	427036	¡Hasta luego!
367027	Bis später!	1036411	¡Nos vemos!
367027	Bis später!	1165945	¡Te veo luego!
367027	Bis später!	1248014	¡Te veo más tarde!
367198	Rauchen Sie?	506768	¿Usted fuma?
367988	Ja, manchmal	779880	Sí, a veces
368205	Hilf mir	515909	Ayúdame
368205	Hilf mir	566549	Échame una mano
368205	Hilf mir	5054307	Ayudame
370249	Lauter, bitte	1280032	Más fuerte, por favor
371167	Kommt übermorgen	940378	Venid pasado mañana
371167	Kommt übermorgen	1873115	Ven pasado mañana
373081	Es schneit	330091	Está nevando
373081	Es schneit	6672137	Nieva
373376	Wirklich?	344138	¿En serio?
373376	Wirklich?	776396	¿Es cierto?
373376	Wirklich?	7790408	¿Verdad?
375831	Pass auf!	375830	¡Cuidado!
375877	Viel Glück	375878	Buena suerte
375877	Viel Glück	857033	Te deseo suerte
380701	Hallo!	1502706	¡Hola!
382123	Guten Morgen!	403913	¡Buenos días!
383311	Ich renne	529642	Corro
383311	Ich renne	1197520	Estoy corriendo
386318	Genau!	2110707	¡Justamente!
387797	Herzlichen Dank!	2755	¡Muchas gracias!
387797	Herzlichen Dank!	595888	Te agradezco de todo corazón
392451	Endlich!	2052054	¡Finalmente!
396623	Bedien dich	4903557	Sírvete
396623	Bedien dich	1431011	Sírvete tú mismo
397483	Bitte	11729048	Por favor
397483	Bitte	332228	De nada
397489	Danke!	382058	¡Gracias!
397532	Warum ich?	720463	¿Por qué yo?
397872	Entschuldigung	434707	Con permiso
397872	Entschuldigung	1214499	Disculpe
397872	Entschuldigung	1771994	¡Perdón!
397872	Entschuldigung	699451	Pido perdón
398752	Hallo, Welt!	475005	¡Hola mundo!
398752	Hallo, Welt!	11705041	¡Hola, mundo!
399144	Sie läuft	1291660	Anda
402766	Schade	537407	Qué lástima
402766	Schade	1082796	Lástima
403061	Verstehen Sie?	1567636	¿Comprende?
406777	Hallo, Manuel	351033	Hola, Manuel
406777	Hallo, Manuel	4527517	¡Hola, Manuel!
407705	Und jetzt?	475007	¿Y ahora?
407806	Nichts Besonderes	1808083	Nada especial
408394	Fick dich!	434761	¡Que te jodan!
408394	Fick dich!	1257856	¡Vete al carajo!
409153	Auf Wiedersehen!	427036	¡Hasta luego!
409153	Auf Wiedersehen!	562079	Hasta la vista
409153	Auf Wiedersehen!	853351	¡Adiós!
411759	Wer weiß?	593879	¿Quién sabe?
413792	Ja, natürlich	577791	Sí, claro
413792	Ja, natürlich	1767402	Claro que sí
414010	Fortsetzung folgt	786157	Continuará
414674	Gern geschehen	332228	De nada
414674	Gern geschehen	602098	No hay de qué
415122	Aber warum?	457506	¿Pero por qué?
425574	Nicht schlecht	1322722	No está mal
425575	Stimmt genau!	731166	¡Exactamente!
426861	Bis bald!	504493	¡Hasta pronto!
426861	Bis bald!	456666	Hasta pronto
429850	Einen Augenblick	1043651	Un momento
430426	Viel Glück!	375878	Buena suerte
432451	Weiche, Satan!	577057	¡Atrás, Satanás!
432451	Weiche, Satan!	577058	¡Retrocede, Satán!
433577	Prost!	434329	¡Salud!
438673	Sehr romantisch!	952813	¡Muy romántico!
438751	Guten Abend!	528431	¡Buenas noches!
438751	Guten Abend!	872348	Buenas tardes
438752	Gute Nacht!	528431	¡Buenas noches!
438913	Du Idiot!	703146	¡Idiota!
439366	Ich gehe	378542	Voy a ir
439366	Ich gehe	941852	Yo iré
440148	Herein!	1501220	Entre
440148	Herein!	1501221	Pase
440148	Herein!	2077279	¡Entren!
440148	Herein!	536647	Adelante
440780	Nicht berühren	1193350	No toques
440780	Nicht berühren	2112889	No tocar
440918	Kann ich?	1139235	¿Puedo?
440919	Darf ich?	514809	¿Me permite?
440920	Erlauben Sie?	514809	¿Me permite?
80	Was ist das?	2484	¿Qué es eso?
80	Was ist das?	449942	¿Qué es esto?
110	Ich vermisse dich	436802	Te extraño
110	Ich vermisse dich	454574	Te echo de menos
113	Du solltest schlafen	2517	Deberías dormir
122	Unglücklicherweise stimmt es	2526	Desafortunadamente es verdad
122	Unglücklicherweise stimmt es	3627972	Lamentablemente, es cierto
